herb_en,herb_cn,pinyin,property,compound,"target (Protein,Enzyme,receptor)",pchembl,pubchem_cid,smiles,MW,LogP,TPSA,HBA,HBD,DL TCMSP
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalein,KB 3-1,4.39,5281606,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,270.24,2,90,5,3,0.21
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalein,Cyclooxygenase,4.3,5281606,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,270.24,2,90,5,3,0.21
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalein,KB,4.21,5281606,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,270.24,2,90,5,3,0.21
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalein,KB 3-1,4.06,5281606,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,270.24,2,90,5,3,0.21
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalin,Unchecked,7.19,64982,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,446.36,1,>150,11,6,0.1
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalin,Lysine-specific histone demethylase 1A,5.45,64982,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,446.36,1,>150,11,6,0.1
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalin,Chikungunya virus,5.16,64982,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,446.36,1,>150,11,6,0.1
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalin,ATP-binding cassette sub-family C member 2,5.1,64982,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,446.36,1,>150,11,6,0.1
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalin,Prolyl endopeptidase,4.92,64982,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,446.36,1,>150,11,6,0.1
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalin,Prolyl endopeptidase,4.91,64982,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,446.36,1,>150,11,6,0.1
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalin,Cyclin-dependent kinase 1/cyclin B1,4.84,64982,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,446.36,1,>150,11,6,0.1
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalin,Cytochrome P450 1A2,4.59,64982,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,446.36,1,>150,11,6,0.1
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalin,H9,4.14,64982,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,446.36,1,>150,11,6,0.1
Scutellaria baicalensis,黄芩,Huang Qin,Cold,baicalin,GABA-A receptor; anion channel,4.11,64982,C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,446.36,1,>150,11,6,0.1
Angelica dahurica,白芷,Bai Zhi,warm,bergapten,HT-1080,6.05,4113,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,216.19,2,50,4,0,0.33
Angelica dahurica,白芷,Bai Zhi,warm,bergapten,HT-1080,5.75,4113,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,216.19,2,50,4,0,0.33
Angelica dahurica,白芷,Bai Zhi,warm,bergapten,HL-60,5.47,4113,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,216.19,2,50,4,0,0.33
Angelica dahurica,白芷,Bai Zhi,warm,bergapten,HT-1080,5.07,4113,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,216.19,2,50,4,0,0.33
Angelica dahurica,白芷,Bai Zhi,warm,bergapten,HeLa,4.79,4113,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,216.19,2,50,4,0,0.33
Angelica dahurica,白芷,Bai Zhi,warm,bergapten,3-hydroxyacyl-CoA dehydrogenase type-2,4.4,4113,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,216.19,2,50,4,0,0.33
Angelica dahurica,白芷,Bai Zhi,warm,bergapten,Lysine-specific demethylase 4E,4.4,4113,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,216.19,2,50,4,0,0.33
Angelica dahurica,白芷,Bai Zhi,warm,bergapten,Potassium voltage-gated channel subfamily A member 2,4.39,4113,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,216.19,2,50,4,0,0.33
Angelica sinensis,当归,Dang gui,warm,butylidenephthalide,"Oligo-1,6-glucosidase IMA1",5.31,5353036,CCC/C=C/1\C2=CC=CC=C2C(=O)O1,166.22,2,30,2,0,0.5
Angelica sinensis,当归,Dang gui,warm,butylidenephthalide,Alpha-mannosidase,5.31,5353036,CCC/C=C/1\C2=CC=CC=C2C(=O)O1,166.22,2,30,2,0,0.5
Angelica sinensis,当归,Dang gui,warm,butylidenephthalide,Tissue alpha-L-fucosidase,5.31,5352899,CCC/C=C/1\C2=CC=CC=C2C(=O)O1,188.22,2,30,2,0,0.5
